"","unid","working","volunteer","leadershiprole","peoplelive","peoplelive_15plus","numchildren","numearnincome","anygrant","anyhhincome","givemoney_yes","cft_score","com_score","grit_score","num_score","opt_score","age","gender_male"
"43187",94916,FALSE,0,0,6,NA,0,1,0,1,0,7,6,8,2,6,20,1
"43188",7251,FALSE,0,0,6,NA,1,2,1,1,1,6,NA,6,NA,8,29,0
"43189",39523,FALSE,1,1,4,NA,1,0,1,0,0,NA,NA,NA,NA,NA,24,1
"43190",98152,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0
"43191",20970,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,2,NA,1,NA,NA,28,0
"43192",49677,TRUE,0,0,4,NA,0,2,0,1,0,5,NA,6,NA,2,23,1
"43193",74061,FALSE,0,0,5,NA,0,1,1,1,0,7,6,6,4,4,21,0
"43194",43617,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,26,1
"43195",44097,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,9,3,NA,23,0
"43196",32197,TRUE,1,1,1,NA,0,2,1,1,1,6,NA,0,NA,2,25,1
"43197",78524,FALSE,1,1,6,3,1,NA,1,1,0,NA,NA,NA,NA,NA,22,0
"43198",69631,TRUE,1,0,4,NA,1,2,1,1,1,8,NA,7,NA,5,23,0
"43199",24196,FALSE,0,0,4,NA,1,0,1,0,0,5,5,9,NA,3,26,0
"43200",93997,FALSE,1,1,5,NA,0,2,1,1,0,6,NA,0,NA,5,20,0
"43201",64046,TRUE,0,0,5,NA,0,0,1,0,1,6,8,7,NA,3,22,0
"43202",21709,FALSE,1,0,1,NA,1,1,1,1,0,4,5,1,NA,10,26,0
"43203",92042,FALSE,0,0,6,NA,1,1,1,1,0,5,3,5,NA,11,19,0
"43204",7951,TRUE,1,1,3,NA,3,1,0,1,1,8,NA,7,NA,4,29,1
"43205",6324,FALSE,0,1,1,NA,2,1,1,1,1,3,NA,7,NA,4,30,0
"43206",40986,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,6,4,3,4,NA,26,0
"43207",25561,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,NA,NA,26,0
"43208",84496,FALSE,1,0,5,NA,0,1,1,1,0,6,6,7,2,4,20,1
"43209",6526,FALSE,1,1,2,0,1,NA,0,1,0,NA,NA,NA,NA,NA,31,0
"43210",51880,FALSE,1,1,5,NA,0,1,1,1,1,4,NA,5,NA,2,23,0
"43211",36498,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,0
"43212",75402,FALSE,1,1,4,NA,0,1,0,1,0,7,NA,3,NA,11,21,0
"43213",65487,FALSE,1,0,0,NA,0,0,1,0,1,4,NA,9,NA,3,24,1
"43214",61345,FALSE,0,0,2,NA,0,1,0,1,0,7,7,9,3,11,22,0
"43215",61347,FALSE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,24,0
